AirportName,Latitude,Longitude,Continent,IsoCountry,IsoRegion,City,GpsCode,IataCode
Alpine Airstrip,70.344299,-150.945007,NA,US,US-AK,Nuiqsut,PALP,DQH
Al Qaisumah/Hafr Al Batin Airport,28.335199,46.125099,AS,SA,SA-04,Qaisumah,OEPA,AQI
Alroy Downs Airport,-19.2908,136.078995,OC,AU,AU-NT,Alroy Downs,YALD,AYD
Alta Airport,69.97609711,23.37170029,EU,NO,NO-54,Alta,ENAT,ALF
Altai Airport,46.37639999,96.22109985,AS,MN,MN-065,Altai,ZMAT,LTI
Altamira Interstate Airport,-3.253144,-52.253938,SA,BR,BR-PA,Altamira,SBHT,ATM
Al Taqaddum Air Base,33.33810043,43.5970993,AS,IQ,IQ-AN,Al Habbaniyah,ORAT,TQD
Altay Xuedu Airport,47.749886,88.085808,AS,CN,CN-65,Altay,ZWAT,AAT
Altenburg-Nobitz Airport,50.981945,12.506389,EU,DE,DE-TH,Altenburg,EDAC,AOC
Altiport L'Alpe d'Huez - Henri GIRAUD,45.087399,6.083604,EU,FR,FR-ARA,L'Alpe d'Huez,LFHU,AHZ
Altoona Blair County Airport,40.296398,-78.32,NA,US,US-PA,Altoona,KAOO,AOO
Alto Palena Airport,-43.61190033,-71.80609894,SA,CL,CL-LL,Alto Palena,SCAP,WAP
Altus Air Force Base,34.667099,-99.266701,NA,US,US-OK,Altus,KLTS,LTS
Altus Quartz Mountain Regional Airport,34.697952,-99.3385,NA,US,US-OK,Altus,KAXS,AXS
Al Udeid Air Base,25.11730003,51.31499863,AS,QA,QA-RA,Ar Rayyan,OTBH,XJD
Alula Aba Nega Airport,13.4674,39.533501,AF,ET,ET-TI,Mekelle,HAMK,MQX
Alverca Air Base,38.883301,-9.0301,EU,PT,PT-11,Vila Franca de Xira,LPAR,AVR
Al Wajh Domestic Airport,26.198601,36.476398,AS,SA,SA-07,Al Wajh,OEWJ,EJH
Alxa Left Banner Bayanhot Airport,38.74831,105.58858,AS,CN,CN-15,Bayanhot,ZBAL,AXF
Alxa Right Banner Badanjilin Airport,39.225,101.546,AS,CN,CN-15,Badanjilin,ZBAR,RHT
Alzintan Airport,31.774878,12.25006,AF,LY,LY-JG,Zintan,HLZN,ZIS
Amado Nervo National Airport,21.419833,-104.842472,NA,MX,MX-NAY,Tepic,MMEP,TPQ
