airline_id,name,iata,icao,callsign,country,logo_svg_url,logo_png_url
996,Аэросервис,АЯ,\N,Null,Russia,https://d26to83vtzzpey.cloudfront.net/АЯ.svg,https://d39ferq6cuvala.cloudfront.net/АЯ.png
997,Bassaka airlines,5B,BSX,5B,Cambodia,https://d26to83vtzzpey.cloudfront.net/5B.svg,https://d39ferq6cuvala.cloudfront.net/5B.png
998,SkyBahamas Airlines,Q7,\N,TROPICAL SKY,Bahamas,https://d26to83vtzzpey.cloudfront.net/Q7.svg,https://d39ferq6cuvala.cloudfront.net/Q7.png
999,UVT Aero,UW,\N,Null,Russia,https://d26to83vtzzpey.cloudfront.net/UW.svg,https://d39ferq6cuvala.cloudfront.net/UW.png
1000,Silver Airways (3M),3M,\N,Silver Wings,United States,https://d26to83vtzzpey.cloudfront.net/3M.svg,https://d39ferq6cuvala.cloudfront.net/3M.png
1001,ATA Airlines (Iran),I3,\N,ATALAR,Iran,https://d26to83vtzzpey.cloudfront.net/I3.svg,https://d39ferq6cuvala.cloudfront.net/I3.png
1002,VIA Líneas Aéreas,V1,VIA,Null,Argentina,https://d26to83vtzzpey.cloudfront.net/V1.svg,https://d39ferq6cuvala.cloudfront.net/V1.png
1003,GermanXL,GX,GXG,Null,Germany,https://d26to83vtzzpey.cloudfront.net/GX.svg,https://d39ferq6cuvala.cloudfront.net/GX.png
1004,Fly France,FF,FRF,Null,France,https://d26to83vtzzpey.cloudfront.net/FF.svg,https://d39ferq6cuvala.cloudfront.net/FF.png
1005,Europe Jet,EX,EU9,Null,France,https://d26to83vtzzpey.cloudfront.net/EX.svg,https://d39ferq6cuvala.cloudfront.net/EX.png
1006,World Scale Airlines,W3,WSS,Null,United States,https://d26to83vtzzpey.cloudfront.net/W3.svg,https://d39ferq6cuvala.cloudfront.net/W3.png
1007,All America US,AG,SSA,Null,United States,https://d26to83vtzzpey.cloudfront.net/AG.svg,https://d39ferq6cuvala.cloudfront.net/AG.png
1008,BudgetAir,1K,BG1,Null,Germany,https://d26to83vtzzpey.cloudfront.net/1K.svg,https://d39ferq6cuvala.cloudfront.net/1K.png
1009,Fly One,F5,FI5,Null,Moldova,https://d26to83vtzzpey.cloudfront.net/F5.svg,https://d39ferq6cuvala.cloudfront.net/F5.png
1010,Nordica,EE,\N,REVAL,Estonia,https://d26to83vtzzpey.cloudfront.net/EE.svg,https://d39ferq6cuvala.cloudfront.net/EE.png
1011,All America BOPY,0P,PYB,BOPY,Paraguay,https://d26to83vtzzpey.cloudfront.net/0P.svg,https://d39ferq6cuvala.cloudfront.net/0P.png
1012,Jetgo Australia,JG,\N,Null,Australia,https://d26to83vtzzpey.cloudfront.net/JG.svg,https://d39ferq6cuvala.cloudfront.net/JG.png
1013,Air Carnival,2S,\N,Null,India,https://d26to83vtzzpey.cloudfront.net/2S.svg,https://d39ferq6cuvala.cloudfront.net/2S.png
1014,Svyaz Rossiya,7R,SJM,RussianConnecty,Russia,https://d26to83vtzzpey.cloudfront.net/7R.svg,https://d39ferq6cuvala.cloudfront.net/7R.png
1015,Aksha Air,QP,AKJ,callsign,India,https://d26to83vtzzpey.cloudfront.net/QP.svg,https://d39ferq6cuvala.cloudfront.net/QP.png
